created_at,lat_1_GPS,long_1_GPS,2_Panel_trap_number,3_Males_Trapped,4_Females_trapped,5_Note,trap_visit_date
2019-07-31 09:08:29.158000+10:00,13.407739000000001,144.74035800000001,012,2,0,,2019-07-31
2019-07-31 09:09:36.250000+10:00,13.407306,144.73988,013,0,0,,2019-07-31
2019-07-31 09:11:08.378000+10:00,13.407017000000002,144.740419,014,1,5,,2019-07-31
2019-07-31 09:12:33.979000+10:00,13.406547,144.740711,015,0,0,,2019-07-31
2019-07-31 09:16:49.515000+10:00,13.406020999999999,144.740711,016,1,0,,2019-07-31
2019-07-31 09:19:07.090000+10:00,13.40599,144.740721,017,0,0,,2019-07-31
2019-07-31 09:20:48.515000+10:00,13.405348000000002,144.740569,018,0,0,,2019-07-31
2019-07-31 09:32:23.989000+10:00,13.414526,144.733053,019,0,1,,2019-07-31
2019-07-31 09:33:03.877000+10:00,13.414007999999999,144.733276,020,0,0,,2019-07-31
2019-07-31 09:34:25.220000+10:00,13.413557999999998,144.73349,021,2,1,,2019-07-31
2019-07-31 09:35:14.290000+10:00,13.413025,144.733599,022,3,0,,2019-07-31
2019-07-31 09:35:40.555000+10:00,13.412698,144.733832,023,0,1,,2019-07-31
2019-07-31 09:36:43.633000+10:00,13.412212,144.73441499999998,024,0,0,,2019-07-31
2019-07-31 09:38:18.180000+10:00,13.411598999999999,144.734632,025,2,0,,2019-07-31
2019-07-31 09:39:04.768000+10:00,13.411302,144.735141,026,2,0,,2019-07-31
2019-07-31 09:39:59.106000+10:00,13.410879000000001,144.735556,027,0,0,,2019-07-31
2019-07-31 09:40:31.134000+10:00,13.410723999999998,144.735806,028,1,0,,2019-07-31
2019-07-31 09:41:30.982000+10:00,13.410545,144.736694,029,0,2,,2019-07-31
2019-07-31 09:42:42.072000+10:00,13.411019,144.737097,030,3,1,,2019-07-31
2019-07-31 09:49:35.306000+10:00,13.415412,144.74236299999998,031,4,1,,2019-07-31
2019-07-31 09:51:13.204000+10:00,13.416217000000001,144.742077,032,0,2,,2019-07-31
2019-07-31 09:51:43.349000+10:00,13.416789000000001,144.742494,033,0,0,,2019-07-31
2019-07-31 09:52:20.212000+10:00,13.417163,144.742872,034,1,1,,2019-07-31
2019-07-31 09:54:10.907000+10:00,13.417582000000001,144.743299,035,1,1,,2019-07-31
2019-07-31 09:55:41.869000+10:00,13.417879999999998,144.743775,036,1,4,,2019-07-31
2019-07-31 09:57:15.129000+10:00,13.417860999999998,144.74438500000002,037,2,3,,2019-07-31
2019-07-31 09:58:33.520000+10:00,13.417617000000002,144.744894,038,1,1,,2019-07-31
2019-07-31 09:59:06.586000+10:00,13.417264000000001,144.745381,039,2,0,,2019-07-31
2019-07-31 10:00:09.122000+10:00,13.416916,144.745817,040,1,1,,2019-07-31
2019-08-07 08:52:56.357000+10:00,13.417133999999999,144.745625,040,1,0,,2019-08-07
2019-08-07 08:54:04.577000+10:00,13.417195999999999,144.745468,039,0,0,,2019-08-07
2019-08-07 08:55:01.346000+10:00,13.417504000000001,144.745067,038,3,0,,2019-08-07
2019-08-07 08:56:11.398000+10:00,,,037,4,0,,2019-08-07
2019-08-07 08:57:31.444000+10:00,13.417914000000001,144.7439,036,0,2,,2019-08-07
2019-08-07 08:58:31.722000+10:00,,,035,0,0,,2019-08-07
2019-08-07 08:59:06.837000+10:00,,,034,0,0,,2019-08-07
2019-08-07 08:59:55.755000+10:00,,,033,1,0,,2019-08-07
2019-08-07 09:00:45.451000+10:00,,,032,2,0,,2019-08-07
2019-08-07 09:02:11+10:00,,,031,3,2,,2019-08-07
2019-08-07 09:06:47.457000+10:00,13.413654000000001,144.738647,01,2,0,,2019-08-07
2019-08-07 09:08:02.139000+10:00,13.413374,144.739293,002,1,1,,2019-08-07
2019-08-07 09:09:37.468000+10:00,13.412726000000001,144.739459,003,1,4,,2019-08-07
2019-08-07 09:09:58.727000+10:00,,,004,1,0,,2019-08-07
2019-08-07 09:10:21.382000+10:00,,,005,1,1,,2019-08-07
2019-08-07 09:11:03.422000+10:00,,,006,1,2,,2019-08-07
2019-08-07 09:11:33.160000+10:00,,,007,1,1,,2019-08-07
2019-08-07 09:11:55.500000+10:00,,,008,0,0,,2019-08-07
2019-08-07 09:18:40.832000+10:00,,,009,0,0,,2019-08-07
2019-08-07 09:20:41.576000+10:00,,,010,0,1,,2019-08-07
2019-08-07 09:21:21.120000+10:00,,,011,0,0,,2019-08-07
2019-08-07 09:22:13.891000+10:00,,,012,0,0,,2019-08-07
2019-08-07 09:23:28.136000+10:00,,,013,1,1,,2019-08-07
2019-08-07 09:24:10.581000+10:00,,,014,1,0,,2019-08-07
2019-08-07 09:25:43.866000+10:00,13.406529,144.740758,015,0,2,,2019-08-07
2019-08-07 09:27:13.356000+10:00,,,016,1,0,,2019-08-07
2019-08-07 09:29:44.632000+10:00,,,017,1,0,,2019-08-07
2019-08-07 09:31:10.810000+10:00,,,018,2,2,,2019-08-07
2019-08-07 09:37:51.180000+10:00,,,019,1,0,,2019-08-07
2019-08-07 09:38:52.937000+10:00,,,020,2,0,,2019-08-07
2019-08-07 09:40:01.701000+10:00,,,021,0,1,,2019-08-07
2019-08-07 09:40:48.818000+10:00,,,022,0,0,,2019-08-07
2019-08-07 09:41:46.212000+10:00,,,023,0,2,,2019-08-07
2019-08-07 09:42:36.402000+10:00,,,024,0,1,,2019-08-07
2019-08-07 09:44:03.599000+10:00,,,025,2,1,,2019-08-07
2019-08-07 09:44:48.674000+10:00,,,026,1,0,,2019-08-07
2019-08-07 09:45:14.041000+10:00,,,027,0,0,,2019-08-07
2019-08-07 09:46:13.952000+10:00,,,028,2,1,,2019-08-07
2019-08-07 09:47:17.429000+10:00,,,029,1,1,,2019-08-07
2019-08-07 09:48:35.705000+10:00,,,030,1,0,,2019-08-07
2019-08-21 12:10:32.143000+10:00,,,001,0,2,,2019-08-21
2019-08-21 12:11:29.625000+10:00,,,002,3,5,,2019-08-21
2019-08-21 12:12:13.161000+10:00,13.430341,144.800947,003,3,3,,2019-08-21
2019-08-21 12:12:44.084000+10:00,,,004,1,1,,2019-08-21
2019-08-21 12:13:15.666000+10:00,,,005,0,0,,2019-08-21
2019-08-21 12:13:47.488000+10:00,,,006,2,1,,2019-08-21
2019-08-21 12:14:21.643000+10:00,,,007,1,2,,2019-08-21
2019-08-21 12:14:49.078000+10:00,,,008,2,3,,2019-08-21
2019-08-21 12:15:15.991000+10:00,,,009,1,1,,2019-08-21
2019-08-21 12:15:44.334000+10:00,,,010,1,2,,2019-08-21
2019-08-21 12:16:17.584000+10:00,,,011,0,0,,2019-08-21
2019-08-21 12:17:01.089000+10:00,,,012,0,0,,2019-08-21
2019-08-21 12:17:37.029000+10:00,,,013,0,1,,2019-08-21
2019-08-21 12:18:22.696000+10:00,,,114,1,2,,2019-08-21
2019-08-21 12:18:53.031000+10:00,,,115,0,0,,2019-08-21
2019-08-21 12:19:28.385000+10:00,,,116,0,0,,2019-08-21
2019-08-21 12:20:00.317000+10:00,,,017,2,1,,2019-08-21
2019-08-21 12:20:28.675000+10:00,,,018,1,1,,2019-08-21
2019-08-21 12:21:00.774000+10:00,,,019,1,0,,2019-08-21
2019-08-21 12:21:32.781000+10:00,,,020,1,1,,2019-08-21
2019-08-21 12:22:20.511000+10:00,,,021,0,3,,2019-08-21
2019-08-21 12:22:55.446000+10:00,,,022,0,0,,2019-08-21
2019-08-21 12:23:32.646000+10:00,,,023,1,0,,2019-08-21
2019-08-21 12:24:04.057000+10:00,,,024,1,0,,2019-08-21
2019-08-21 12:24:33.993000+10:00,,,025,0,4,,2019-08-21
2019-08-21 12:25:05.927000+10:00,,,026,0,2,,2019-08-21
2019-08-21 12:25:35.099000+10:00,,,027,0,0,,2019-08-21
2019-08-21 12:26:05.197000+10:00,,,028,1,0,,2019-08-21
2019-08-21 12:26:33.290000+10:00,,,029,1,1,,2019-08-21
2019-08-21 12:27:01.583000+10:00,,,030,1,2,,2019-08-21
2019-08-21 12:27:29.813000+10:00,,,031,1,1,,2019-08-21
2019-08-21 12:27:57.490000+10:00,,,032,0,2,,2019-08-21
2019-08-21 12:28:23.638000+10:00,,,033,0,1,,2019-08-21
2019-08-21 12:28:51.056000+10:00,,,034,1,1,,2019-08-21
2019-08-21 12:29:19.670000+10:00,,,035,1,2,,2019-08-21
2019-08-21 12:29:51.329000+10:00,,,036,0,3,,2019-08-21
2019-08-21 12:30:19.840000+10:00,,,037,2,1,,2019-08-21
2019-08-21 12:30:45.362000+10:00,,,038,0,2,,2019-08-21
2019-08-21 12:31:14.279000+10:00,,,039,2,2,,2019-08-21
2019-08-21 12:31:41.298000+10:00,,,040,3,5,,2019-08-21
2019-08-23 14:12:03.390000+10:00,,,040,5,4,,2019-08-23
2019-08-23 14:12:52.539000+10:00,,,039,1,1,,2019-08-23
2019-08-23 14:16:37.855000+10:00,,,038,0,1,lure,2019-08-23
2019-08-23 14:18:19.232000+10:00,,,037,0,1,,2019-08-23
2019-08-23 14:19:07.297000+10:00,,,036,1,1,,2019-08-23
2019-08-23 14:20:06.864000+10:00,,,035,1,1,,2019-08-23
2019-08-23 14:21:15.618000+10:00,,,034,2,4,,2019-08-23
2019-08-23 14:22:54.065000+10:00,,,033,2,1,,2019-08-23
2019-08-23 14:23:43.504000+10:00,,,032,2,0,,2019-08-23
2019-08-23 14:24:55.244000+10:00,,,031,3,3,,2019-08-23
2019-08-23 14:28:51.278000+10:00,,,001,0,0,,2019-08-23
2019-08-23 14:30:00.212000+10:00,,,002,2,0,,2019-08-23
2019-08-23 14:31:50.319000+10:00,,,003,1,1,,2019-08-23
2019-08-23 14:32:43.298000+10:00,,,004,3,0,,2019-08-23
2019-08-23 14:33:46.690000+10:00,,,005,0,0,,2019-08-23
2019-08-23 14:34:59.002000+10:00,,,006,1,2,,2019-08-23
2019-08-23 14:36:07.660000+10:00,,,007,1,0,,2019-08-23
2019-08-23 14:37:10.194000+10:00,,,008,2,1,,2019-08-23
2019-08-23 14:45:37.048000+10:00,,,009,0,4,,2019-08-23
