created_at,lat,lon,trap_id,males,females,note,trap_visit_date
2019-07-24 09:06:07.530000+10:00,13.407726,144.740395,12,0,0,,2019-07-24
2019-07-24 09:07:28.551000+10:00,13.407373,144.739972,13,0,1,,2019-07-24
2019-07-24 09:09:42.047000+10:00,13.407169,144.740481,14,0,1,,2019-07-24
2019-07-24 09:11:55.680000+10:00,13.406535,144.740765,15,2,0,,2019-07-24
2019-07-24 09:15:01.720000+10:00,13.406529,144.740692,16,1,0,,2019-07-24
2019-07-24 09:17:00.456000+10:00,13.40522,144.74069,17,0,3,,2019-07-24
2019-07-24 09:20:20.740000+10:00,13.405211,144.74064,18,1,1,,2019-07-24
2019-07-24 09:33:46.646000+10:00,13.414548,144.733005,19,0,1,,2019-07-24
2019-07-24 09:34:58.865000+10:00,13.414007,144.733303,20,3,1,,2019-07-24
2019-07-24 09:36:22.846000+10:00,13.413555,144.733506,21,4,1,,2019-07-24
2019-07-24 09:37:54.136000+10:00,13.413016,144.73363,22,0,2,,2019-07-24
2019-07-24 09:39:01.293000+10:00,13.412638,144.733963,23,0,0,,2019-07-24
2019-07-24 09:52:53.900000+10:00,13.4122,144.734427,24,0,0,,2019-07-24
2019-07-24 09:54:38.276000+10:00,13.411613,144.734569,25,4,0,,2019-07-24
2019-07-24 09:55:53.129000+10:00,13.411365,144.735185,26,1,0,,2019-07-24
2019-07-24 09:57:21.292000+10:00,13.410888,144.735627,27,0,1,,2019-07-24
2019-07-24 09:58:44.699000+10:00,13.410664,144.736081,28,0,1,,2019-07-24
2019-07-24 10:00:15.466000+10:00,13.410598,144.736702,29,1,0,,2019-07-24
2019-07-24 10:01:48.715000+10:00,13.411055,144.737052,30,2,0,,2019-07-24
2019-07-24 10:10:02.393000+10:00,13.415425,144.742384,31,0,2,,2019-07-24
2019-07-24 10:11:23.906000+10:00,13.416188,144.742061,32,2,0,,2019-07-24
2019-07-24 10:12:47.012000+10:00,13.416764,144.742507,33,2,1,,2019-07-24
2019-07-24 10:14:14.430000+10:00,13.41712,144.742933,34,0,4,,2019-07-24
2019-07-24 10:15:48.138000+10:00,13.417605,144.743232,35,0,0,,2019-07-24
2019-07-24 10:17:21.906000+10:00,13.417934,144.74373,36,1,0,,2019-07-24
2019-07-24 10:19:27.346000+10:00,13.417787,144.744278,37,2,1,,2019-07-24
2019-07-24 10:21:41.953000+10:00,13.417657,144.744891,38,1,3,,2019-07-24
2019-07-24 10:23:59.180000+10:00,13.417274,144.745355,39,0,0,,2019-07-24
2019-07-24 10:24:44.882000+10:00,13.416953,144.745821,40,0,1,,2019-07-24
2019-07-31 08:48:24.909000+10:00,13.413873,144.738909,1,2,1,,2019-07-31
2019-07-31 08:50:45.265000+10:00,13.413465,144.739332,2,4,1,,2019-07-31
2019-07-31 08:52:25.642000+10:00,13.413438,144.739312,3,1,3,,2019-07-31
2019-07-31 08:53:33.871000+10:00,13.412548,144.739748,4,1,1,,2019-07-31
2019-07-31 08:54:35.199000+10:00,13.412558,144.739764,5,0,2,,2019-07-31
2019-07-31 08:56:02.541000+10:00,13.412309,144.740271,6,0,1,,2019-07-31
2019-07-31 08:56:54.350000+10:00,13.411463,144.74098,7,1,0,,2019-07-31
2019-07-31 08:57:45.631000+10:00,13.411246,144.7416,8,0,0,,2019-07-31
2019-07-31 09:04:22.828000+10:00,13.409106,144.739789,9,1,3,,2019-07-31
2019-07-31 09:06:46.923000+10:00,13.408691,144.740103,10,1,0,,2019-07-31
2019-07-31 09:07:45.327000+10:00,13.408235,144.740257,11,0,0,,2019-07-31
2019-07-31 09:08:29.158000+10:00,13.407739,144.740358,12,2,0,,2019-07-31
2019-07-31 09:09:36.250000+10:00,13.407306,144.73988,13,0,0,,2019-07-31
2019-07-31 09:11:08.378000+10:00,13.407017,144.740419,14,1,5,,2019-07-31
2019-07-31 09:12:33.979000+10:00,13.406547,144.740711,15,0,0,,2019-07-31
2019-07-31 09:16:49.515000+10:00,13.406021,144.740711,16,1,0,,2019-07-31
2019-07-31 09:19:07.090000+10:00,13.40599,144.740721,17,0,0,,2019-07-31
2019-07-31 09:20:48.515000+10:00,13.405348,144.740569,18,0,0,,2019-07-31
2019-07-31 09:32:23.989000+10:00,13.414526,144.733053,19,0,1,,2019-07-31
2019-07-31 09:33:03.877000+10:00,13.414008,144.733276,20,0,0,,2019-07-31
2019-07-31 09:34:25.220000+10:00,13.413558,144.73349,21,2,1,,2019-07-31
2019-07-31 09:35:14.290000+10:00,13.413025,144.733599,22,3,0,,2019-07-31
2019-07-31 09:35:40.555000+10:00,13.412698,144.733832,23,0,1,,2019-07-31
2019-07-31 09:36:43.633000+10:00,13.412212,144.734415,24,0,0,,2019-07-31
2019-07-31 09:38:18.180000+10:00,13.411599,144.734632,25,2,0,,2019-07-31
2019-07-31 09:39:04.768000+10:00,13.411302,144.735141,26,2,0,,2019-07-31
2019-07-31 09:39:59.106000+10:00,13.410879,144.735556,27,0,0,,2019-07-31
2019-07-31 09:40:31.134000+10:00,13.410724,144.735806,28,1,0,,2019-07-31
2019-07-31 09:41:30.982000+10:00,13.410545,144.736694,29,0,2,,2019-07-31
2019-07-31 09:42:42.072000+10:00,13.411019,144.737097,30,3,1,,2019-07-31
2019-07-31 09:49:35.306000+10:00,13.415412,144.742363,31,4,1,,2019-07-31
2019-07-31 09:51:13.204000+10:00,13.416217,144.742077,32,0,2,,2019-07-31
2019-07-31 09:51:43.349000+10:00,13.416789,144.742494,33,0,0,,2019-07-31
2019-07-31 09:52:20.212000+10:00,13.417163,144.742872,34,1,1,,2019-07-31
2019-07-31 09:54:10.907000+10:00,13.417582,144.743299,35,1,1,,2019-07-31
2019-07-31 09:55:41.869000+10:00,13.41788,144.743775,36,1,4,,2019-07-31
2019-07-31 09:57:15.129000+10:00,13.417861,144.744385,37,2,3,,2019-07-31
2019-07-31 09:58:33.520000+10:00,13.417617,144.744894,38,1,1,,2019-07-31
2019-07-31 09:59:06.586000+10:00,13.417264,144.745381,39,2,0,,2019-07-31
2019-07-31 10:00:09.122000+10:00,13.416916,144.745817,40,1,1,,2019-07-31
2019-08-07 08:52:56.357000+10:00,13.417134,144.745625,40,1,0,,2019-08-07
2019-08-07 08:54:04.577000+10:00,13.417196,144.745468,39,0,0,,2019-08-07
2019-08-07 08:55:01.346000+10:00,13.417504,144.745067,38,3,0,,2019-08-07
2019-08-07 08:56:11.398000+10:00,,,37,4,0,,2019-08-07
2019-08-07 08:57:31.444000+10:00,13.417914,144.7439,36,0,2,,2019-08-07
2019-08-07 08:58:31.722000+10:00,,,35,0,0,,2019-08-07
2019-08-07 08:59:06.837000+10:00,,,34,0,0,,2019-08-07
2019-08-07 08:59:55.755000+10:00,,,33,1,0,,2019-08-07
2019-08-07 09:00:45.451000+10:00,,,32,2,0,,2019-08-07
2019-08-07 09:02:11+10:00,,,31,3,2,,2019-08-07
2019-08-07 09:06:47.457000+10:00,13.413654,144.738647,1,2,0,,2019-08-07
2019-08-07 09:08:02.139000+10:00,13.413374,144.739293,2,1,1,,2019-08-07
2019-08-07 09:09:37.468000+10:00,13.412726,144.739459,3,1,4,,2019-08-07
2019-08-07 09:09:58.727000+10:00,,,4,1,0,,2019-08-07
2019-08-07 09:10:21.382000+10:00,,,5,1,1,,2019-08-07
2019-08-07 09:11:03.422000+10:00,,,6,1,2,,2019-08-07
2019-08-07 09:11:33.160000+10:00,,,7,1,1,,2019-08-07
2019-08-07 09:11:55.500000+10:00,,,8,0,0,,2019-08-07
2019-08-07 09:18:40.832000+10:00,,,9,0,0,,2019-08-07
2019-08-07 09:20:41.576000+10:00,,,10,0,1,,2019-08-07
2019-08-07 09:21:21.120000+10:00,,,11,0,0,,2019-08-07
2019-08-07 09:22:13.891000+10:00,,,12,0,0,,2019-08-07
2019-08-07 09:23:28.136000+10:00,,,13,1,1,,2019-08-07
2019-08-07 09:24:10.581000+10:00,,,14,1,0,,2019-08-07
2019-08-07 09:25:43.866000+10:00,13.406529,144.740758,15,0,2,,2019-08-07
2019-08-07 09:27:13.356000+10:00,,,16,1,0,,2019-08-07
2019-08-07 09:29:44.632000+10:00,,,17,1,0,,2019-08-07
